record_id,source,narrative,primary_lsr,secondary_lsr,all_lsrs,label_count,lsr_label_provenance
OILPS_OSHA_03552,OSHA,"At a remote location, the injured employee was running a pig through the pipeline when the pig became stuck. As the employee was venting gas to the atmosphere to free the pig, a spark ignited the gas vapors, causing the employee to sustain second-degree burns to their face and left elbow.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0084,IOGP_SPI,Power outage restart caused piping separation and fire at compressor station; no injuries.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01955,OSHA,"An employee was redressing a compact setting tool and had it in a vise. He put the mandrel in the sleeve and attempted to screw the mandrel onto the tool. When he let go of the mandrel with his right hand, it fell. As he attempted to catch the mandrel and sleeve, he stumbled and the mandrel struck/pinched his finger on the floor, resulting in a left middle fingertip amputation.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0081,IOGP_HPE,"Contractor personnel were performing a scheduled calibration of a flow meter in accordance with the preventive 
maintenance plan.
During the calibration process, the technician initiated pressure stabilization by draining fluid through the 
designated drainage line. To enhance the drainage process, the technician also opted to use an additional line and 
proceeded to remove the plug at the end of that line.
Upon removal of the plug, an uncontrolled release of oil containing H2S occurred. Work was stopped immediately. 
Workers H2S detectors activated, donned respirators and evacuated the area.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01828,OSHA,"An employee was operating an iron roughneck while moving drill pipes when a pipe struck his fingers against the iron roughneck's control box, resulting in a partial amputation of the left ring fingertip. The employee's hand was outside the equipment at the time of the incident.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00108,OSHA,A contractor hired to replace an old pipeline damaged it with a backhoe and created a leak. There was a trench about 3 feet deep and 18 inches wide. The injured employee was on scene to evaluate the leak. He moved from one side of the trench to the other. The soil on the opposite side gave way and exposed a tree root; he hit his chin on that root. The employee broke two bones in his left leg about 2 inches from his ankle.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0092,IOGP_HPE,"During production tubing running operations on the drilling rig, four metallic components fell from height while 
using the catline system.
• Objects dropped from approximately 40 m height
• 2 × 1.8 kg (≈ 706 J each)
• 2 × 10.4 kg (≈ 4,076 J each)
The falling energy was sufficient to cause a fatality.
No injuries occurred, but this qualifies as a High Potential Event (HIPO) due to the severe dropped-object energy.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0096,IOGP_SPI,"Failure of 1/2 inch nipple on PSV line released 26,279 lbs CO2 inside compressor building; safety systems worked 
and unit shut down.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02972,OSHA,An employee was removing nuts from a pump unit. The employee slipped and their right index fingertip was crushed between the pump and a rachet. The fingertip was amputated.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00088,OSHA,"On or before February 19, 2015, an employee slipped and fell on ice while carrying a 2-inch x 30-foot-long piece of pipe, resulting in a tibia/fibula fracture to the right leg.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01398,OSHA,"An employee was driving a street sweeper down a well pad access road when he applied the brakes, slid into a ditch, hit a mound, went airborne, and rolled two times. He suffered fractured ribs, a collapsed lung, and a fractured pelvis.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00690,OSHA,An employee was performing well test operations and experienced heat exhaustion. The employee was hospitalized.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02824,OSHA,An employee was filling forklift cylinders with propane gas when the nozzle connected to the cylinder released and the employee was burned by the propane gas.,Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_FATAL_0062,IOGP_FATAL,"A contract crew was in the process of cleaning a sales oil line for new pad tie-in work as part of a pipeline 
infrastructure project when a crewmember was injured during work with a sales oil pig receiver resulting in a 
fatality.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02962,OSHA,"Employee 1 was operating a dozer's winch from inside the cabin. While attempting to unhook from a D-ring, he had to loosen the tension of the cable. Upon doing so, employee 2 walked over to the winch and grabbed the cable with her left hand. When employee 1 moved the controls to spool out the winch, employee 2's left hand was pulled into the cables. Employee 2 sustained a broken left ring finger and a partial amputation to her left little finger.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0008,IOGP_SPI,"At approximately 0523 hrs. on November 8, 2025, an unusual sound was observed at the facility. Upon investigation, 
operations identified a fire on the upper section of the Auto-Thermal Reformer Unit 1 (ATR1). The Emergency 
Response Team (ERT) was immediately deployed to the location. In accordance with the plant’s safety and control 
systems, ATR Units 1 and 2 as well as ASU Units 1 and 2 underwent automatic shutdowns due to inter-unit 
protective logic. The fire was fully extinguished by approximately 0630 hrs. There was no injury to personnel.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01753,OSHA,"An employee was aligning/guiding a workover rig onto a well-head using a spacing cable when his left ring finger was caught between the spacing cable and the rod blowout preventer, resulting in a fingertip amputation.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0143,IOGP_SPI,The circulation pump seal failed resulting in a spill.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00474,OSHA,"An employee was offloading iron from a trailer when the employee's right index finger got caught between a 4-inch iron, which fell from above, and the edge of the trailer.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0016,IOGP_HPE,"During pallet racking activities in the warehouse, a forklift was in the process of lifting a pallet to the third shelf. The 
load backrest of the forklift inadvertently contacted another pallet directly above (load approximately 240kg) stored 
on the fourth shelf which dislodged and fell approximately 5.6m to grade. No personnel were injured. There was one 
nearby person 7 meters away.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0024,IOGP_SPI,"During permanent plugging, the 13 3/8’’ casing was cut with open BOP at 510 m after all barriers had towards 
all flowing units had been established below cutting depth. A significant volume of trapped gas was released and 
entered the rig floor and shaker area triggering gas alarms and ESD sequences. Diverter and annular were then 
closed and well secured.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02232,OSHA,An employee was using a sandblasting gun on a pipeline. The gun hit his right arm and the sandblast media caused an open wound on the forearm.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0085,IOGP_SPI,Discharge line failure released 108 KCF gas; site blown down and isolated.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03173,OSHA,"An employee was performing backflow operations at a tank battery. After shutting a valve, pressure built in the line causing the line to rupture. The employee was standing near the line when it ruptured and their right arm and the right side of their torso were struck by hot oil, water, and sand (approximately 147 degrees) resulting in severe burns requiring hospitalization.",Line of Fire,Energy Isolation,Line of Fire; Energy Isolation,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03721,OSHA,"An employee was walking down stairs when she tripped and fell, injuring her left leg and ankle.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03473,OSHA,"An employee was transferring diesel fuel from a 4,500 gallon fuel transport wagon to a semi-truck. Diesel fuel vapors and static caused an explosion/fire, resulting in burns to the employee's face and upper torso.",Hot Work,Driving,Hot Work; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0215,IOGP_SPI,"A gas leak was detected from the BV bypass of the liquid filter due to a flange plug snapping out. The leak was 
successfully stopped, the area was declared safe, and all necessary safety protocols were followed. Operations 
resumed as normal. No injuries or damage/loss occurred as a result of this release.
Safety performance indicators – Process safety events – 2025 data
147

===PAGE_148===",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0024,IOGP_HPE,Employee fell into well cellar.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02867,OSHA,"An employee was using a pressure washer to clean the inside of a fertilizer tank containing ammonium polyphosphate solution when the pressurized steam punctured his left big toe, resulting in infection and hospitalization.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01645,OSHA,"On June 25, 2018, an employee was using a sling to offload 120-gallon tanks from the back of a truck. He fell from the truck to the ground, sustaining a lumbar compression fracture.",Safe Mechanical Lifting,Working at Height,Safe Mechanical Lifting; Working at Height; Driving,3,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02714,OSHA,"While walking at grade under an asphalt rail car loading rack, an employee tripped on concrete that was protruding from the walkway. The employee fell and sustained five broken ribs.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00353,OSHA,An employee fractured his hand while connecting a trailer when his hand got caught in the trailer's hydraulic cylinder.,Line of Fire,,Line of Fire,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0164,IOGP_SPI,"Contractor personnel were performing a scheduled calibration of a flow meter in accordance with the preventive 
maintenance plan.
During the calibration process, the technician-initiated pressure stabilization by draining fluid through the 
designated drainage line. To enhance the drainage process, the technician also opted to use an additional line and 
proceeded to remove the plug at the end of that line.
Upon removal of the plug, an uncontrolled release of oil containing H2S occurred. Work was stopped immediately. 
Contractor workers H2S detectors activated, donned respirators and evacuated the area.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0140,IOGP_SPI,Valve nipple backed out of threads due to vibration on piping.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0157,IOGP_SPI,"During a walkthrough on the platform, a worker who was holding the position of Helper C perceived an abnormal 
noise near the fuel gas regulation package, which operates at 74 kg/cm². Upon inspecting the package, he identified 
the presence of gas in a 2” Ø x 600# line located on the mezzanine of the first level.
As he inspected the line more closely, he detected a loss of containment at the threaded connection between the 2” 
Ø x 600# line and the 2” x 600# coupling. He proceeded to tighten the 2” Ø coupling to the 2” Ø pipe, observing that 
the gas emission gradually decreased. Immediately afterward, the threaded coupling detached, leaving his left palm 
exposed to the gas coming out of the pipe.
He immediately informed the Control Room and secured the residual gas system. With support from the first aid 
brigade of the Processing Centre, he was transferred, conscious and walking on his own, from platform to the 
Processing Centre via lateral flight for medical attention.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0101,IOGP_SPI,"Recycle pump suction valve and check valve failed, releasing 0.31 bbl oil inside building and 17.8 bbl outside; 
contained within facility.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01487,OSHA,"An employee was exiting a rock crusher and getting onto a 6-foot step ladder. He was holding onto the handrail while getting his feet onto the ladder. His feet were on the second rung from the top when the ladder kicked out from underneath him. He held onto the handrail momentarily and then fell 4 to 5 feet to the ground (gravel pad), breaking his left wrist and suffering a small compression fracture in his lower back. He was hospitalized.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01947,OSHA,"A crew was rigging down when a winch line became hung up on the operations platform. The platform then failed and an employee was caught between the rails and control panel, suffering bodily contusions.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0056,IOGP_SPI,"During tree-up operations on the well, surface equipment failed, resulting in a loss of containment and an injury to a 
contractor’s employee. The injured person was transported to a medical facility for treatment.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0097,IOGP_HPE,A forklift traveling in reverse moved toward the spotter during the warehouse exit manoeuvre.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02093,OSHA,"An employee was helping to move a piece of casing off a guide wire from a rig. The casing was on a pipe rack. As the pipe was pushed to move it out of the guide wire, the pipe rolled and caught his right hand, pinching his middle finger and resulting in partial amputation of the fingertip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01432,OSHA,"An employee was using a spray wand connected to a hot water pressure washer to open up a frozen produce water tank. The produce water vented hydrocarbon vapors near the hot water pressure washer causing a fire. Two employees received second and third degree burns to the face, neck and hands.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0098,IOGP_HPE,"During a pull-out operation on the platform, an uncommanded movement of the vessel’s aft reel occurred, exposing 
a worker to a potentially fatal risk.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00014,OSHA,"Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0187,IOGP_SPI,"Night shift production supervisor was assisting projects instrumentation persons to put probe of Test separator 
outlet base sediment and water analyser in place as part of the equipment commissioning. During the operation, 
as reported in his statement all steps as per manual was followed. Unfortunately he encountered a few issues, the 
probe was very hard to handling/move. Finally, he decided to come down the stepladder and the same time the 
probe gland and trail dislodged from its original position resulting in crude oil leak on deck and splashed on the 
production supervisor’s body.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03166,OSHA,"An employee was pushing back a stand of drill pipe on a rig floor. He slipped and fell forward, putting his hands out in front of him to brace his fall. The drill pipe moved back slightly and pinched his right index and middle fingers against the rig floor, resulting in the amputation of the two fingertips above the first knuckle.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0062,IOGP_HPE,"On 30/04/2025, a High Potential (HIPO) occurred when a crane’s counterweight of 15 tonnes fell off the trailer due 
to failure in the securing belt. The trailer was moving from the laydown area to the well-pad. No personnel injuries 
were reported.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02619,OSHA,A forklift collision broke an employee's heel and ankle.,Safe Mechanical Lifting,Driving,Safe Mechanical Lifting; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03596,OSHA,"An employee was cleaning a sight glass on a gas separation machine that was located on top of a self contained/self evacuating tank. When the valve that connected the well bore to the gas separation machine was opened, gas/vapor ignited, causing a flash fire that burned the employee's face and hands.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0078,IOGP_HPE,"A worker fell approximately 16 feet from an aerial work platform onto a Christmas tree cart. The incident occurred 
while the worker was using a rope tied to the basket to pull an umbilical and create slack for a storm loop. The rope 
failed under tension, releasing stored energy that transferred to the basket. This sudden release caused the basket 
to jolt, ejecting the worker.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03694,OSHA,An employee was sprayed with hot water when a nearby bleeder valve was under pressure that caused the valve to release. This resulted in burns to their legs and lower torso.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03791,OSHA,"Two employees were looking for steel tubing in the yard. Employee 1 knelt down to read the size numbers on the tubing. Employee 2 pulled out a piece of tubing and then tripped over a white mesh bag of parts from a delivery. The tubing was dropped on employee 1's right middle finger, amputating the fingertip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02760,OSHA,Two employees were unloading and loading propane cylinders. A leaking propane tank was placed in front of a makeshift structure. Propane gas accumulated within the structure and an explosion occurred. Both employees suffered second and third degree burns that required hospitalization.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01634,OSHA,"An employee was steadying a road boring machine as it was loaded onto the back of a truck. The employee's right index finger was in a pinch point when the machine was lowered onto the finger, crushing it and requiring a medical amputation.",Line of Fire,Driving,Line of Fire; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00310,OSHA,"An employee was pinning tubing together to skid the rig. The employee's hands were placed between the two pieces, and the left pinky and ring fingers got pinched. Both fingers were surgically amputated.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02402,OSHA,An employee was installing a vent chimney for a gas fireplace and fell from the roof to the ground below. The employee was hospitalized with bilateral foot fractures.,Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02064,OSHA,"An employee was lowering the boom of the manlift. The manlift basket became entangled with a rope attached to a pulley used to hoist screens and tools to the top of the plant. As the manlift descended it put tension on the rope which broke the gantry frame. A section of the frame struck the employee's head/shoulder area. The employee lost consciousness and sustained multiple fractures to his skull, face, shoulder and ribs. The employee was wearing personal protective equipment at the time.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0051,IOGP_HPE,"A contractor mechanical field service representative and mechanical team had disconnected the export gas 
compressor gas turbine’s primary and secondary flexible fuel gas hoses. After disconnecting the hoses, the 
contractor field service representative was on the back side of the gas turbine while the mechanical technicians 
were on the front side. While lying beneath the gas turbine to check the water wash drain tube under the gas 
turbine, pressure was released, causing the loose hoses to swing.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0167,IOGP_SPI,"Oil patches were observed from the helicopter. Later it was confirmed that a leak had occurred from the subsea 20” 
pipeline.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0025,IOGP_HPE,Cut through live supply line.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0211,IOGP_SPI,"During Booster compressor (BC) commissioning, the operator observed a smoldering fire in the engine exhaust 
elbow. The operator immediately shut down the BC unit and extinguished the fire using a portable extinguisher.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03751,OSHA,"An employee approached the driver of a semi truck with a belly dumper trailer to notify them that they smelled burning brakes. While the employee was checking the front brakes, the brakes released and the truck rolled backward over their leg. The employee sustained a fractured leg, ankle, and toe.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0208,IOGP_SPI,"During hot work activities to replace process lines, the flange of a service water line was broken. This resulted in a 
release of water followed by a hydrocarbon/water emulsion. There was no CO/LEL detected and the material was 
removed by flushing with service water. Despite a very minor, intermittent liquid release (droplets) from the open 
line, work activities continued to cut an upstream service water line. About 10-15 minutes later, a fire ignited from 
the open process nozzle.
142
Safety performance indicators – Process safety events – 2025 data
===PAGE_143===",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02051,OSHA,An employee was re-dressing a setting tool. The employee's right little finger was caught between the setting sleeve and a mandrel porthole. The tip was amputated.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0002,IOGP_HPE,"At around 4am on 1st of May, the two men on the crane were assigned to a new location. The operation involved 
depositing the counterweights. Following a counter-order from the supervisor, they had to carry out a final lift 
before going on to the new location. The spider chains were replaced on the counterweights. As the chains are 
lifted, one of the hooks gets caught in the guide of the counterweight. When the chains come off, they have a spring 
effect. The banksman can't reasonably control three of them and the fourth spins around him with his back lower. 
The spider chain hit the banksman at the back. The IP received pain killer treatment before transferring to hospital 
by chopper. The IP suffered a permanent impairment injury.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02144,OSHA,An employee was entering a production line to weld a tab on a pipe when the employee's left leg (between the ankle and knee) was caught and injured between a steel pipe and a roller breaker.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0022,IOGP_HPE,Fly jib on mobile crane fell to the floor.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01138,OSHA,"An employee was installing an outrigger on a frac unit. The employee climbed a ladder to install the top pivot pin while a loader was positioning the outrigger. The top pin would not fully slide into place because the bottom pin's eye was not aligned properly. The employee dismounted the ladder and pushed the lower part of the outrigger to align the pins and eyes with the mount. When the employee placed the lower pin into the eyes, the top pin fell through the eyes and struck the employee's right hand, smashing the index and middle fingers.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0009,IOGP_HPE,Release of propane from a temp. storage tank.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0123,IOGP_SPI,"During hot water flush, well started unloading, and the PSV released on the LP separator.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0092,IOGP_SPI,Vibration-related nipple failure released 23 bbl oil; partial recovery completed.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02650,OSHA,"While moving drums in the back of a delivery truck, an employee fell from the truck to the ground, suffering a concussion and head laceration. The employee was hospitalized.",Working at Height,Driving,Working at Height; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03247,OSHA,"An employee was repairing a pack installation under tension. Upon pushing the pack, the employee sustained a left calf strain and was hospitalized.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02262,OSHA,"An employee was pressure washing a roll-off box when the employee contacted the pressurized water, suffering a left foot injury.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03368,OSHA,"An employee opened the hatch on an oil tank. The exposure to hydrogen sulfide and other gases caused the employee to become ill, dizzy, and lightheaded; the employee was hospitalized.",Confined Space,Toxic Gas / Hazardous Substance,Confined Space; Toxic Gas / Hazardous Substance,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01763,OSHA,"An employee was dismantling a lubricant barrel with a torch when it exploded. The explosive force blew out the bottom of the drum, which flew up and struck the employee's face, smashing the welding helmet he was wearing, sending him backwards, and causing him to hit his head on the concrete floor. He suffered facial lacerations, a skull fracture, and bleeding on the brain.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00818,OSHA,"An employee was working on the rig floor when a traveling block fell and struck him, fracturing his clavicle and ribs.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0113,IOGP_SPI,"Tank leaked due to internal corrosion, spilling 111 bbl. oil inside unlined berm; 17 bbl. recovered.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0180,IOGP_SPI,"During routine gas injection operations on an offshore production unit, a sudden drop in pressure and an increase 
in flow were detected in one of the flexible gas injection lines. Upon investigation, it was discovered that the line had 
ruptured at a deep-water connector, leading to an uncontrolled release of flammable gas mixture. The event did 
not result in injuries or environmental impact but caused significant material loss. Following the detection, the gas 
injection was manually stopped to contain the release, and remote inspections confirmed the subsea failure.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03581,OSHA,"An employee was near a hybrid separator when it malfunctioned, resulting in a flash fire that burned the employee's upper body.",Hot Work,Confined Space,Hot Work; Confined Space,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0049,IOGP_HPE,"A forklift operator was pulling a service hose from the backyard to the rig location, the operator raised the boom 
to a higher position. During this operation, the boom came into contact with a deadline data cable positioned 
approximately 5 meters high on overhead line stands. As a result, the cable fell and sustained minor damage. There 
were no injuries or harm to personnel",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0128,IOGP_SPI,"Upon arriving for rounds, operator discovered that the flowline had developed a leak underground and was flowing 
to the surface.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02035,OSHA,"Two employees were in a trailer. A lit cigarette ignited gas that had leaked from a propane tank in the trailer, causing an explosion. Both employees suffered second-and third- degree burns to the hands, arms, and face.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0010,IOGP_HPE,"A 9 kg metal plate detached from the conveyor railway and fell approximately 6.5–10 m onto the deck below.
No personnel were struck; however, dropped-object energy indicated fatality potential.
The plate was originally installed as a dropped-object prevention measure. Over time it deteriorated and was 
displaced due to a misaligned and stretched conveyor belt, which pushed the plate out of position.
Operations on the starboard conveyor were stopped, the area below was barricaded, and a rope-access inspection 
of similar installations was initiated.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03360,OSHA,Two employees were working on a perforating gun when it detonated in the shop. One employee suffered burns to the hands and hearing loss. The other employee's left hand was amputated and they sustained burns to the upper torso. Both employees were hospitalized.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00467,OSHA,"An employee was hydrostatic pressure-testing a section of pipeline when a pipe coupling separated and struck him in the face, lacerating his upper lip and causing dental trauma.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00308,OSHA,An employee was overcome by heat stress while conducting oil-well servicing operations.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03687,OSHA,"An employee was removing a pipe from his truck when his middle finger got caught in the D ring on the pipe, resulting in a fingertip amputation up to the first knuckle.",Line of Fire,Driving,Line of Fire; Driving,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0050,IOGP_SPI,"A leak was detected on the 3” Ø liquids line toward the battery limit, which is currently out of operation.
Actions: It was verified that the valves of the liquids circuit were closed; the area around the central rack where the 
line runs was barricaded, and maintenance and inspection personnel were notified for evaluation.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_FATAL_0011,IOGP_FATAL,Fatality during Well Surveillance.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00125,OSHA,An employee was transferring product from a tote to a truck when static caused vapors to ignite. The employee was burned on the abdomen and face and has a possible broken ankle.,Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02645,OSHA,"On September 9, 2020, an employee was attempting to start a vibrating tamper in order to continue compacting backfill material in a completed excavation. The employee pulled the starter cord multiple times. After the pull which started the engine, the pull cord of the vibrating tamper did not recoil correctly. The employee gathered the excess cord in his left hand in order to prevent an additional slip, trip, or fall hazard. When he engaged the throttle of the machine with his right hand, the pull cord retracted, wrapped around the employee s left thumb, and caused a partial amputation of the thumb tip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00575,OSHA,"An employee was welding on the access door to a 21,000 gallon tank containing an asphalt product identified as AC. A flame was observed, by the spotter, moments before a blast. The welder was blown into the air and landed on the platform. The welder sustained burns and was hospitalized.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03002,OSHA,"An employee was troubleshooting a compressor that had shut down. The employee believed that a 1-inch choke nipple was plugged and drained fluids via the dump line to check the choke nipple. The employee then loosened a union and a flash fire occurred, burning the employee's hands and face.",Energy Isolation,Hot Work,Energy Isolation; Hot Work,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03711,OSHA,"On April 29, 2024, at around 8:45 AM, an employee was making a fuel delivery to a 300-gallon fuel tank that was located on top of pea gravel at a customer's site. The gravel started to shift during the delivery and the employee jumped from their step ladder about 24-30 inches to the gravel to avoid the tank and then fell. The employee sustained a laceration to their left eyebrow and three broken ribs on their left side.",Working at Height,Hot Work,Working at Height; Hot Work,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00816,OSHA,"An employee was working on the engine of a compressor when a flash fire occurred, burning the employee's hands and face. He was hospitalized.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01842,OSHA,"An employee was flagging trucks into a job site when a pickup truck drove through the construction zone and struck the employee, who suffered two broken ribs and a bruised elbow.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00678,OSHA,"An employee was performing tank gauging on a produced water tank. After opening the tank's thief hatch, the employee was exposed to hydrogen sulfide, suffering headaches and nausea.",Confined Space,Toxic Gas / Hazardous Substance,Confined Space; Toxic Gas / Hazardous Substance,2,PROJECT_ANNOTATED_AI_ASSISTED
