record_id,source_record_id,incident_text,top_lsr,top_score,second_lsr,second_score,margin,evidence_labels,semantic_score,agreement_state,suggested_action
OILPS_OSHA_00069,2015021264,"Employee was struck by a 12-inch pipe while it was being lowered into a three-foot deep trench, breaking his leg in two places above the ankle. nan",Safe Mechanical Lifting,0.3486,Line of Fire,0.1694,0.1792,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00073,2015021300,An employee's left pinky was amputated after his hand was caught between a roller and a tank. nan,Line of Fire,0.0669,Safe Mechanical Lifting,0.0237,0.0432,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00087,2015020518,An employee was standing on a pipe rack using his feet to roll pipe to the edge when his foot was caught by a pipe causing him to fall off the rack. The employee's foot was broken by the pipe that als,Energy Isolation,0.4875,Safe Mechanical Lifting,0.4488,0.0387,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00091,2015020655,An employee working on an oil-and-gas service rig suffered partial amputations of the right middle and right ring fingers after his hand was caught between the tong plate and the pin that secures the ,Safe Mechanical Lifting,0.1536,Line of Fire,0.005,0.1486,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00092,2015020672,An employee was performing maintenance work on a crawler crane's ignition system while standing on the track which provided only 5.5 inches of surface to stand on. The mechanic slipped and fell approx,Hot Work,0.0012,Energy Isolation,0.0001,0.0011,Safe Mechanical Lifting,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00093,2015020679,"Employee amputated the tip of the left-hand pinky finger while pulling 20' long pipe from a pipe rack. While pulling one section of pipe from the rack, another pipe shifted; the employee's finger beca",Safe Mechanical Lifting,0.5421,Driving,0.0084,0.5337,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00097,2015020774,Employee was changing out a piece of pipe while installing underground conduits on a directional drilling rig. He was struck by a wrench. The employee was taken to the hospital with injuries to his fo,Working at Height,0.0033,Line of Fire,0.0023,0.001,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00100,2015020858,"An employee was attaching a compressor to a skid with a pneumatic impact driver. The employee's finger got caught in the driver, which tore off his fingertip; the injury did not involve the bone. nan",Line of Fire,0.3041,Driving,0.2684,0.0357,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00101,2015030879,"On 3/1/15, an employee was struck by a passenger vehicle in a roadside work zone, resulting in an amputation. nan",Line of Fire,0.5458,Safe Mechanical Lifting,0.0301,0.5157,Driving | Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00106,2015030991,Employee was struck in his back with a chain while walking behind a vehicle-mounted drilling rig. nan,Line of Fire,0.1903,Safe Mechanical Lifting,0.0033,0.187,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00107,2015030582,Employee was lifting pipes when the pipes slipped and fell onto the employee's fingers resulting in medical amputation. nan,Confined Space,0.0109,Work Authorization,0.007,0.0039,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00113,2015031093,"On or about March 10, 2015, at 2:30 p.m., two employees got struck by a drilling motor and a cart. While pushing the cart from the outside of the building to the inside, the cart tipped and the drilli",Energy Isolation,0.6349,Working at Height,0.0621,0.5728,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00120,2015030311,"An employee was spotting a tractor that was picking up equipment. The employee slipped, and the employee's hand was caught between the tractor and equipment. The hand was crushed and required surgery.",Safe Mechanical Lifting,0.5695,Driving,0.0145,0.555,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00122,2015030594,An employee on an oil rig had his left hand amputated by a rock crusher while dislodging rocks from the machine. Lockout procedures were not followed at the time. nan,Line of Fire,0.0006,Working at Height,0.0003,0.0003,Energy Isolation,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00127,2015031221,"An employee amputated his left pinky (small) finger while moving a drill pipe and putting it on a rack. As he lowered the drill pipe, he slipped and his pinky got caught beneath the pipe. nan",Driving,0.9322,Safe Mechanical Lifting,0.8568,0.0754,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00132,2015031358,"An employee was struck by a 2,000-pound pipe while working on a service rig. He sustained damage to his left ankle. nan",Safe Mechanical Lifting,0.0233,Energy Isolation,0.0045,0.0188,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00133,2015031378,"An employee fractured his right middle finger while loading a 250-pound test plug onto the back of his truck. The forklift used to raise the load released it, and the employee's finger got caught betw",Driving,0.6312,Safe Mechanical Lifting,0.168,0.4632,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00134,2015031384,"An employee slipped and fell while a dump box was simultaneously being lowered. The employee's right thumb was caught between a pinch point, which resulted in an amputation of the right thumb at the f",Line of Fire,0.0184,Hot Work,0.0012,0.0172,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00138,2015031447,An employee sustained injuries to his left index finger while rigging down. nan,Safe Mechanical Lifting,0.1234,Hot Work,0.014,0.1094,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00140,2015030398,"An employee was injured on 3/26/15 while working on an inactive, disengaged brake. The employee tripped and was struck by a counterbalance in the chest and abdomen. nan",Line of Fire,0.0025,Safe Mechanical Lifting,0.0025,0.0,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00143,2015031548,Employees were connecting a drill pipe. The injured employee suffered a partial amputation to his pinky finger when it got caught between the pipe and tong. nan,Line of Fire,0.5455,Hot Work,0.0994,0.4461,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00144,2015031579,"An employee's hand got caught between elevators and a derrick. The employee sustained a laceration between the ring and small fingers on the right hand, as well as a fractured small finger. nan",Working at Height,0.2823,Energy Isolation,0.0894,0.1929,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00150,2015031639,"An employee was grinding at a pedestal grinder on a small piece of work. The work had been set in place using vice grips. The work slipped from its placement, moving and lodging into the space between",Hot Work,0.0011,Line of Fire,0.0004,0.0007,Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00151,2015041665,An employee with a sledgehammer struck the injured employee's left middle finger while he was holding a board. The injured employee's fingertip was amputated. nan,Safe Mechanical Lifting,0.5298,Line of Fire,0.1492,0.3806,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00152,2015041709,"Employees were replacing equipment to install a cannon ball. As they were replacing the equipment, an employee bumped one of the valves. Pressure was released, spraying onto the employee's neck. nan",Energy Isolation,0.6399,Confined Space,0.0124,0.6275,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00153,2015041744,"An employee was working on the pipeline. A pipe came off of the trough and coiled on the floor. The employee tried to straighten out the coiled pipe. His feet became tangled in the pipe, causing him t",Energy Isolation,0.002,Working at Height,0.0017,0.0003,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00160,2015041924,"An employee was performing cementing operations on a drilling rig. While using an air hoist to hoist a cement plug over a pipe, his thumb got caught between the ""wing"" of the plug and the plug itself.",Energy Isolation,0.0098,Safe Mechanical Lifting,0.0035,0.0063,Line of Fire | Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00164,2015041948,"On April 13, 2015, at approximately 1:30 p.m., an employee was shot in the left hand. Prior to the incident, a well tender found an issue at a well site. The well tender contacted a roustabout crew to",Line of Fire,0.0138,Safe Mechanical Lifting,0.0118,0.002,Driving,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00168,2015042146,An employee was in the process of rolling a 22 inch diameter pipe with an instrument called a C-Bar (tool used to roll the pipe). His finger got caught between the C-Bar and the next joint of pipe to ,Energy Isolation,0.1837,Hot Work,0.0023,0.1814,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00174,2015042298,"An employee fell while standing on a crescent wrench, cutting his leg on a valve. nan",Working at Height,0.0017,Hot Work,0.0002,0.0015,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00181,2015042419,A third party contractor was nippling up a production tree. The employee was tightening the bull plug and the wrench slipped off causing the employee to lose balance and to fall approximately 5 feet t,Energy Isolation,0.0036,Working at Height,0.0014,0.0022,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00182,2015042422,An employee was struck by a company truck at the company's construction yard and hospitalized for a broken leg. nan,Driving,0.5818,Safe Mechanical Lifting,0.0161,0.5657,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00183,2015042446,"On or about 4/29/15, an employee's index finger on right hand was amputated while cutting a 2 x 6 wood slab on a table saw. The employee was hospitalized. The employee's 4th and 5th digits on the righ",Working at Height,0.0135,Line of Fire,0.0067,0.0068,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00189,2015052514,"An employee was on a tubular pile adjusting straps. The pile rolled, catching his foot and causing him to fall, fracturing his right leg. No cribbing was used at the time of the incident. nan",Working at Height,0.0164,Safe Mechanical Lifting,0.0053,0.0111,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00195,2015052675,An employee fell from an elevated work platform on a drill rig while installing piping for the well. The employee broke both ankles. nan,Working at Height,0.0039,Hot Work,0.0023,0.0016,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00199,2015052806,"While being lifted by a derrick air hoist during oil well drilling operations, an employee's steel-toe boot got caught under the steel cross member ""girt"" of the derrick. The toe was amputated inside ",Working at Height,0.4094,Line of Fire,0.0558,0.3536,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00200,2015052818,"An employee was assembling oilfield parts. He had a small piece of pipe (approximately 3-feet high) and was attaching another piece (approximately 500 lbs. with an 18"" diameter) to the upright station",Safe Mechanical Lifting,0.5676,Driving,0.0054,0.5622,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00201,2015052822,"On May 13, 2015, at approximately 12:00 midnight, an employee suffered a concussion and was hospitalized after being struck by a 1.5- to 2-inch flex steel hose. The employee was working in the cellar ",Working at Height,0.0152,Hot Work,0.0008,0.0144,Line of Fire,0.7,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00203,2015052839,Employees were trying to maneuver a metal pipe into place using a hoist when the swivel released and caused the pipe to suddenly lift up about 6 inches and strike the injured employee in the jaw. nan,Hot Work,0.0087,Energy Isolation,0.0004,0.0083,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00211,2015053034,"An employee fell from a height, fracturing his left and right ankles and left arm. He was hospitalized. nan",Working at Height,0.0112,Line of Fire,0.0024,0.0088,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00215,2015053107,An operator was instructing a new employee how to operate the hydro blasting machine when it suddenly actuated. The operator suffered injuries to the hand and was admitted to the local hospital for su,Safe Mechanical Lifting,0.5593,Working at Height,0.0062,0.5531,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00218,2015053126,"On May 24, 2015, an employee working near a mud pump suffered an injury to his right leg/knee when he was struck by fluid under pressure when a hose ruptured. nan",Energy Isolation,0.5249,Line of Fire,0.0135,0.5114,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00219,2015053130,An employee working on a ship was installing a valve into a pipeline. The employee slipped and a toe was caught between the valve and pipeline. nan,Energy Isolation,0.009,Working at Height,0.0005,0.0085,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00222,2015053257,"The employee, operating a company vehicle, was involved in a two car accident at an intersection. The employee was hospitalized. nan",Line of Fire,0.0274,Safe Mechanical Lifting,0.0037,0.0237,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00226,2015053324,"On or about 1300 hrs on 31 May 2015, a One Source Industrial Services employee was hospitalized when the employee's vehicle overturned on CR 5000 in Andrews County, Texas. The incident occurred as the",Driving,0.0087,Energy Isolation,0.0085,0.0002,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00229,2015063361,"On or about 0530 hrs on the 2nd day of June 2015, an employee was injured when the vehicle he was driving overturned on a lease road approximately five miles east of Mentone Texas. The employee was ho",Working at Height,0.0005,Driving,0.0003,0.0002,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00230,2015063371,"On or about 3 June 2015, at approximately 1825 hours, an AR Daniel Construction employee was hospitalized due to an injury acquired at the jobsite. The employee was working in a trench under the railr",Safe Mechanical Lifting,0.997,Line of Fire,0.9559,0.0411,Safe Mechanical Lifting,0.75,STRONG_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00233,2015060215,An employee was pulled off of the drill floor by a tugger line. The employee was standing behind a safety gate holding the hoist line to put tension on it so it would not get tangled in the hoist drum,Safe Mechanical Lifting,0.2251,Line of Fire,0.0315,0.1936,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00242,2015063660,An employee was spotting moving equipment when he noticed a piece of iron that was sticking out from the equipment. He reached up to swivel the iron when his finger got caught between the iron and the,Working at Height,0.0609,Driving,0.0233,0.0376,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00245,2015063821,An employee was found unresponsive after being missing for approximately one hour. The employee was potentially exposed to struck by hazards while performing lay down hand duties. nan,Safe Mechanical Lifting,0.1258,Line of Fire,0.0012,0.1246,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00255,2015064028,An employee was changing a belt on an abrasive blasting machine. The employee placed the belt on the pulley while the machine was still turning. The pulley pulled his finger into the machine. His left,Safe Mechanical Lifting,0.5915,Hot Work,0.0537,0.5378,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00258,2015064044,An employee was handling pipe on the drilling rig. His right ring finger got caught between the thread protector and pipe collar. nan,Safe Mechanical Lifting,0.0009,Line of Fire,0.0007,0.0002,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00265,2015074266,"Several employees were getting their tools ready for the day after performing JSA at a jobsite outside of Kennedy, Texas. One employee went to uncradle the lubricator from the wire line rig, and the e",Working at Height,0.0119,Energy Isolation,0.0005,0.0114,Safe Mechanical Lifting,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00268,2015074297,"While lowering a swivel arm/gate, an employee's fingertip got caught between the heavy equipment. The fingertip was later amputated. nan",Line of Fire,0.0009,Driving,0.0008,0.0001,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00272,2015074326,"Employees were rigging down the workover rig at about 11:30 a.m., on July 5, when an employee's right thumb and first finger were caught between the derrick tip section and stop plate. The employee's ",Safe Mechanical Lifting,0.4469,Working at Height,0.1499,0.297,Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00274,2015074393,An employee was cutting bands off of tubing to separate the electric cable from the tubing when the band cutter came up and hit him in his left eye. Eye protection was not worn at the time. He was hos,Line of Fire,0.0002,Safe Mechanical Lifting,0.0001,0.0001,Hot Work,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00278,2015074438,An employee loading high-pressure iron into pipe racking suffered a fingertip amputation after his left pinky finger got caught between the pinch point of the iron and pipe racking. nan,Energy Isolation,0.3606,Line of Fire,0.003,0.3576,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00280,2015074471,An employee was repairing a seal on a valve operator. He placed the drum cover over the actuator piston using an overhead crane and was manipulating the drum while operating the crane controls. While ,Safe Mechanical Lifting,0.0022,Energy Isolation,0.0007,0.0015,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00281,2015074501,"An employee was using an electronic power jack to set up pallets when he lost control of the jack because of wet conditions. The jack crashed into nearby pallets, causing them to fall on the employee.",Driving,0.0019,Energy Isolation,0.0002,0.0017,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00290,2015074826,An employee was walking near a forklift holding a non-secure joint casing. The employee sustained a compound fracture to the leg when the joint casing rolled off the forklift tines and landed on the e,Safe Mechanical Lifting,0.9998,Energy Isolation,0.8602,0.1396,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00293,2015074954,An employee experienced heat-related muscle cramps while loading materials onto a vehicle. nan,Hot Work,0.0027,Work Authorization,0.0005,0.0022,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00296,2015075069,An employee was hospitalized with an ankle injury after falling 4 feet from a pipe lifting machine. nan,Hot Work,0.0126,Safe Mechanical Lifting,0.01,0.0026,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00301,2015075200,"On or about July 29, 2015 an employee operating a side boom crane was injured when his right ankle was caught between the wench of a backing bulldozer and the bumper of the boom. The side boom crane o",Safe Mechanical Lifting,0.0428,Working at Height,0.003,0.0398,Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00303,2015075223,"On July 29, 2015,an employee standing on a tubular steel beam hanging sheeting, untied his safety harness and was in the process of crossing a vertical beam when he slipped and fell resulting in a com",Energy Isolation,0.0039,Line of Fire,0.0012,0.0027,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00305,2015075282,An employee was burned by hot water while disconnecting a pump hose that was under pressure. He was hospitalized. nan,Energy Isolation,0.4855,Line of Fire,0.0051,0.4804,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00312,2015085535,"The employee was cutting a sample valve using an unguarded grinder. There was a 6"" blade installed on a 4"" grinder. The employee cut his left index finger and shattered the bone. nan",Safe Mechanical Lifting,0.0333,Hot Work,0.006,0.0273,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00313,2015085564,Employee was struck by a high pressure rigid line on a oil and gas production site and sustained non-life-threatening injuries. nan,Energy Isolation,0.6451,Safe Mechanical Lifting,0.0002,0.6449,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00321,2015085925,"An employee was installing light posts when the derrick truck swung the light post and contacted the power line behind them. The trailer holding the post became energized, and the employee received se",Working at Height,0.9902,Driving,0.966,0.0242,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00325,2015086069,An employee performing quality checks on filters leaving the assembly line amputated the left pinky finger from the first knuckle when it was caught between the vertical guide rail and the horizontal ,Working at Height,0.0054,Safe Mechanical Lifting,0.0034,0.002,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00328,2015086175,An employee was holding a pin while another employee was driving the pin in with a hammer. The employee's finger was struck by the hammer resulting in the amputation of the fingertip. nan,Line of Fire,0.9907,Safe Mechanical Lifting,0.9422,0.0485,Driving | Line of Fire,0.75,STRONG_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00340,2015096329,An employee was assembling testing equipment. The employee's left index finger got caught between a nut and an impact wrench and was amputated to the knuckle. nan,Safe Mechanical Lifting,0.0486,Line of Fire,0.0012,0.0474,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00342,2015096411,An employee was working to set a tool up to start torqueing when his pinky finger got caught between the hydraulic torque wrench and a part. He dislocated his pinky finger. nan,Safe Mechanical Lifting,0.5009,Driving,0.0176,0.4833,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00343,2015096416,"An employee was conducting work on the 60-feet-high platform of an oil derrick, operating rigging to move piping into position. The employee became sick, vomited, experienced cramps, and was eventuall",Safe Mechanical Lifting,0.1016,Working at Height,0.0927,0.0089,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00346,2015096462,"An employee was disassembling a one-tier tubular scaffold. The employee removed the cross bracing first. When a coworker removed the planks, the scaffold members came down and struck the employee, cau",Safe Mechanical Lifting,0.9991,Working at Height,0.973,0.0261,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00349,2015096491,"An employee was driving through a construction zone after unloading production water at a disposal well when his vehicle veered off the road and crashed south of Killdeer, North Dakota, on Highway 22.",Driving,0.0025,Energy Isolation,0.0007,0.0018,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00354,2015096608,"An employee was using a grinder to remove tack welds from a 12"" by 4.5"" steel plate. While grinding, the steel plate broke free and struck the employee's left eye. The employee sustained a left cheek ",Safe Mechanical Lifting,0.3637,Working at Height,0.1127,0.251,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00362,2015096886,"On September 19, 2015, at approximately 3:45pm, an equipment operator was hospitalized after suffering fractured vertebrae in his neck and back, a broken left arm, and broken ribs. The employee was op",Driving,0.0696,Safe Mechanical Lifting,0.0026,0.067,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00363,2015096908,An employee was standing next to an excavator. The excavator turned and the employee was struck by the excavator's counterweight. The employee fell over into a sump hole and struck his body against a ,Safe Mechanical Lifting,0.0334,Working at Height,0.0126,0.0208,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00365,2015097053,An employee was cleaning out the air actuator. The employee called out to a second employee who did not hear him correctly and the second employee closed a valve amputating the employee's right middle,Work Authorization,0.6588,Energy Isolation,0.5323,0.1265,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00369,2015097258,"An employee was using elevators to latch pipe. While pulling the elevators back to latch another joint of pipe from the trailer, his fingertip got caught between the horn and bale. He sustained a righ",Safe Mechanical Lifting,0.0117,Working at Height,0.0033,0.0084,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00372,2015107375,"Two shop employees were in the process of tearing down a 1250 Ton Slip Type Elevator (STE) and were pulling the carriers and slips out of the STE. While removing one of the carriers from the slip, uti",Energy Isolation,0.001,Working at Height,0.0003,0.0007,Line of Fire | Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00373,2015107419,A delivery driver from another company delivered a tanker load of hot oil emulsion for asphalt to the facility. The driver arrived onsite and hooked up a hose up from the tanker to the facility's pump,Driving,0.0489,Confined Space,0.0014,0.0475,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00380,2015107653,The employee was pulling a safety pin out of an outrigger on the telebelt and had his finger pinched in the outrigger. The employee sustained a flesh amputation to the fingertip of the right hand midd,Working at Height,0.4759,Line of Fire,0.1277,0.3482,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00384,2015107725,The elevator lifting a 30 foot long pipe at an oil well shifted causing the bottom of the pipe to strike an employee in the back. This employee then fell against a second employee pushing the tongs in,Hot Work,0.7223,Safe Mechanical Lifting,0.6088,0.1135,Safe Mechanical Lifting | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00392,2015107932,"On October 23, 2015, at approximately 1:00pm, a an employee was hospitalized after suffering a compression fracture to his back and laceration to his head. The employee was driving an extendible boom ",Working at Height,0.0022,Energy Isolation,0.002,0.0002,Driving | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00393,2015107970,An employee was disposing of lab quantities of chemicals and came in contact with 50% phosphoric acid. The employee suffered chemical burns to the right hand. nan,Work Authorization,0.5953,Safe Mechanical Lifting,0.1868,0.4085,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00394,2015107996,An employee working in the maintenance garage was conducting an oil change on a vehicle and was looking for a drum to collect the oil. The employee and another employee found a partially full drum tha,Hot Work,0.0458,Energy Isolation,0.005,0.0408,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00396,2015108033,An employee was attempting to break loose a pipe connection with a pipe wrench when his thumb was caught between the pipe and the wrench when the pipe string was lifted. He suffered a soft tissue ampu,Energy Isolation,0.0506,Hot Work,0.0058,0.0448,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00399,2015108074,"An employee was making welding repairs to one of the pad eyes on a 30 inch Blow Out Preventer (BOP). The task required the employee to place the BOP on a table positioner. While welding the 14,000 lbs",Hot Work,0.9936,Working at Height,0.8873,0.1063,Hot Work,0.75,STRONG_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00400,2015108102,"An employee was inspecting a weld on the outside of a 32"" diameter, 80 ft. long pipe. The employee's foot and lower leg were caught between the pipe and a rotator roller. The employee lost tissue on t",Energy Isolation,0.0476,Working at Height,0.0007,0.0469,Line of Fire,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00401,2015108116,An employee was removing excess grease lube from a boom drum on the derrick with a putty knife and got his right hand fingers caught in the rotating metal gears. His right index finger was amputated a,Line of Fire,0.8292,Working at Height,0.82,0.0092,NONE,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00404,2015118250,Two employees were bolting round flanges into a pipeline formation. One employee was torqueing with a ratchet while the other was holding a multiplier that was attached to the ratchet with the use of ,Line of Fire,0.0354,Safe Mechanical Lifting,0.009,0.0264,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_OSHA_00405,2015118254,An employee was rigging up a swab lubricator when he tripped on an uneven surface and broke his tibia and dislocated the fibula. nan,Safe Mechanical Lifting,0.3254,Driving,0.0017,0.3237,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
