record_id,narrative,all_lsrs
OILPS_OSHA_00108,A contractor hired to replace an old pipeline damaged it with a backhoe and created a leak. There was a trench about 3 feet deep and 18 inches wide. The injured employee was on scene to evaluate the leak. He moved from one side of the trench to the other. The soil on the opposite side gave way and exposed a tree root; he hit his chin on that root. The employee broke two bones in his left leg about 2 inches from his ankle.,
OILPS_IOGP_HPE_0092,"During production tubing running operations on the drilling rig, four metallic components fell from height while 
using the catline system.
• Objects dropped from approximately 40 m height
• 2 × 1.8 kg (≈ 706 J each)
• 2 × 10.4 kg (≈ 4,076 J each)
The falling energy was sufficient to cause a fatality.
No injuries occurred, but this qualifies as a High Potential Event (HIPO) due to the severe dropped-object energy.",
OILPS_IOGP_SPI_0096,"Failure of 1/2 inch nipple on PSV line released 26,279 lbs CO2 inside compressor building; safety systems worked 
and unit shut down.",
OILPS_OSHA_02972,An employee was removing nuts from a pump unit. The employee slipped and their right index fingertip was crushed between the pump and a rachet. The fingertip was amputated.,
OILPS_OSHA_00088,"On or before February 19, 2015, an employee slipped and fell on ice while carrying a 2-inch x 30-foot-long piece of pipe, resulting in a tibia/fibula fracture to the right leg.",
OILPS_OSHA_01398,"An employee was driving a street sweeper down a well pad access road when he applied the brakes, slid into a ditch, hit a mound, went airborne, and rolled two times. He suffered fractured ribs, a collapsed lung, and a fractured pelvis.",
OILPS_OSHA_00690,An employee was performing well test operations and experienced heat exhaustion. The employee was hospitalized.,
OILPS_OSHA_02824,An employee was filling forklift cylinders with propane gas when the nozzle connected to the cylinder released and the employee was burned by the propane gas.,Safe Mechanical Lifting
OILPS_IOGP_FATAL_0062,"A contract crew was in the process of cleaning a sales oil line for new pad tie-in work as part of a pipeline 
infrastructure project when a crewmember was injured during work with a sales oil pig receiver resulting in a 
fatality.",
OILPS_OSHA_02962,"Employee 1 was operating a dozer's winch from inside the cabin. While attempting to unhook from a D-ring, he had to loosen the tension of the cable. Upon doing so, employee 2 walked over to the winch and grabbed the cable with her left hand. When employee 1 moved the controls to spool out the winch, employee 2's left hand was pulled into the cables. Employee 2 sustained a broken left ring finger and a partial amputation to her left little finger.",Safe Mechanical Lifting
OILPS_IOGP_SPI_0008,"At approximately 0523 hrs. on November 8, 2025, an unusual sound was observed at the facility. Upon investigation, 
operations identified a fire on the upper section of the Auto-Thermal Reformer Unit 1 (ATR1). The Emergency 
Response Team (ERT) was immediately deployed to the location. In accordance with the plant’s safety and control 
systems, ATR Units 1 and 2 as well as ASU Units 1 and 2 underwent automatic shutdowns due to inter-unit 
protective logic. The fire was fully extinguished by approximately 0630 hrs. There was no injury to personnel.",
OILPS_OSHA_01753,"An employee was aligning/guiding a workover rig onto a well-head using a spacing cable when his left ring finger was caught between the spacing cable and the rod blowout preventer, resulting in a fingertip amputation.",Energy Isolation
OILPS_IOGP_SPI_0143,The circulation pump seal failed resulting in a spill.,
OILPS_OSHA_00474,"An employee was offloading iron from a trailer when the employee's right index finger got caught between a 4-inch iron, which fell from above, and the edge of the trailer.",Working at Height
OILPS_IOGP_HPE_0016,"During pallet racking activities in the warehouse, a forklift was in the process of lifting a pallet to the third shelf. The 
load backrest of the forklift inadvertently contacted another pallet directly above (load approximately 240kg) stored 
on the fourth shelf which dislodged and fell approximately 5.6m to grade. No personnel were injured. There was one 
nearby person 7 meters away.",
OILPS_IOGP_SPI_0024,"During permanent plugging, the 13 3/8’’ casing was cut with open BOP at 510 m after all barriers had towards 
all flowing units had been established below cutting depth. A significant volume of trapped gas was released and 
entered the rig floor and shaker area triggering gas alarms and ESD sequences. Diverter and annular were then 
closed and well secured.",
OILPS_OSHA_02232,An employee was using a sandblasting gun on a pipeline. The gun hit his right arm and the sandblast media caused an open wound on the forearm.,
OILPS_IOGP_SPI_0085,Discharge line failure released 108 KCF gas; site blown down and isolated.,
OILPS_OSHA_03173,"An employee was performing backflow operations at a tank battery. After shutting a valve, pressure built in the line causing the line to rupture. The employee was standing near the line when it ruptured and their right arm and the right side of their torso were struck by hot oil, water, and sand (approximately 147 degrees) resulting in severe burns requiring hospitalization.",Line of Fire; Energy Isolation
OILPS_OSHA_03721,"An employee was walking down stairs when she tripped and fell, injuring her left leg and ankle.",
OILPS_OSHA_03473,"An employee was transferring diesel fuel from a 4,500 gallon fuel transport wagon to a semi-truck. Diesel fuel vapors and static caused an explosion/fire, resulting in burns to the employee's face and upper torso.",Hot Work; Driving
OILPS_IOGP_SPI_0215,"A gas leak was detected from the BV bypass of the liquid filter due to a flange plug snapping out. The leak was 
successfully stopped, the area was declared safe, and all necessary safety protocols were followed. Operations 
resumed as normal. No injuries or damage/loss occurred as a result of this release.
Safety performance indicators – Process safety events – 2025 data
147

===PAGE_148===",
OILPS_IOGP_HPE_0024,Employee fell into well cellar.,
OILPS_OSHA_02867,"An employee was using a pressure washer to clean the inside of a fertilizer tank containing ammonium polyphosphate solution when the pressurized steam punctured his left big toe, resulting in infection and hospitalization.",Energy Isolation
OILPS_OSHA_01645,"On June 25, 2018, an employee was using a sling to offload 120-gallon tanks from the back of a truck. He fell from the truck to the ground, sustaining a lumbar compression fracture.",Safe Mechanical Lifting; Working at Height; Driving
OILPS_OSHA_02714,"While walking at grade under an asphalt rail car loading rack, an employee tripped on concrete that was protruding from the walkway. The employee fell and sustained five broken ribs.",
OILPS_OSHA_00353,An employee fractured his hand while connecting a trailer when his hand got caught in the trailer's hydraulic cylinder.,Line of Fire
OILPS_IOGP_SPI_0164,"Contractor personnel were performing a scheduled calibration of a flow meter in accordance with the preventive 
maintenance plan.
During the calibration process, the technician-initiated pressure stabilization by draining fluid through the 
designated drainage line. To enhance the drainage process, the technician also opted to use an additional line and 
proceeded to remove the plug at the end of that line.
Upon removal of the plug, an uncontrolled release of oil containing H2S occurred. Work was stopped immediately. 
Contractor workers H2S detectors activated, donned respirators and evacuated the area.",
OILPS_IOGP_SPI_0140,Valve nipple backed out of threads due to vibration on piping.,
OILPS_IOGP_SPI_0157,"During a walkthrough on the platform, a worker who was holding the position of Helper C perceived an abnormal 
noise near the fuel gas regulation package, which operates at 74 kg/cm². Upon inspecting the package, he identified 
the presence of gas in a 2” Ø x 600# line located on the mezzanine of the first level.
As he inspected the line more closely, he detected a loss of containment at the threaded connection between the 2” 
Ø x 600# line and the 2” x 600# coupling. He proceeded to tighten the 2” Ø coupling to the 2” Ø pipe, observing that 
the gas emission gradually decreased. Immediately afterward, the threaded coupling detached, leaving his left palm 
exposed to the gas coming out of the pipe.
He immediately informed the Control Room and secured the residual gas system. With support from the first aid 
brigade of the Processing Centre, he was transferred, conscious and walking on his own, from platform to the 
Processing Centre via lateral flight for medical attention.",
OILPS_IOGP_SPI_0101,"Recycle pump suction valve and check valve failed, releasing 0.31 bbl oil inside building and 17.8 bbl outside; 
contained within facility.",
OILPS_OSHA_01487,"An employee was exiting a rock crusher and getting onto a 6-foot step ladder. He was holding onto the handrail while getting his feet onto the ladder. His feet were on the second rung from the top when the ladder kicked out from underneath him. He held onto the handrail momentarily and then fell 4 to 5 feet to the ground (gravel pad), breaking his left wrist and suffering a small compression fracture in his lower back. He was hospitalized.",Working at Height
OILPS_OSHA_01947,"A crew was rigging down when a winch line became hung up on the operations platform. The platform then failed and an employee was caught between the rails and control panel, suffering bodily contusions.",Safe Mechanical Lifting
OILPS_IOGP_SPI_0056,"During tree-up operations on the well, surface equipment failed, resulting in a loss of containment and an injury to a 
contractor’s employee. The injured person was transported to a medical facility for treatment.",
OILPS_IOGP_HPE_0097,A forklift traveling in reverse moved toward the spotter during the warehouse exit manoeuvre.,
OILPS_OSHA_02093,"An employee was helping to move a piece of casing off a guide wire from a rig. The casing was on a pipe rack. As the pipe was pushed to move it out of the guide wire, the pipe rolled and caught his right hand, pinching his middle finger and resulting in partial amputation of the fingertip.",
OILPS_OSHA_01432,"An employee was using a spray wand connected to a hot water pressure washer to open up a frozen produce water tank. The produce water vented hydrocarbon vapors near the hot water pressure washer causing a fire. Two employees received second and third degree burns to the face, neck and hands.",Energy Isolation
OILPS_IOGP_HPE_0098,"During a pull-out operation on the platform, an uncommanded movement of the vessel’s aft reel occurred, exposing 
a worker to a potentially fatal risk.",
OILPS_OSHA_00014,"Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery.",Working at Height
OILPS_IOGP_SPI_0187,"Night shift production supervisor was assisting projects instrumentation persons to put probe of Test separator 
outlet base sediment and water analyser in place as part of the equipment commissioning. During the operation, 
as reported in his statement all steps as per manual was followed. Unfortunately he encountered a few issues, the 
probe was very hard to handling/move. Finally, he decided to come down the stepladder and the same time the 
probe gland and trail dislodged from its original position resulting in crude oil leak on deck and splashed on the 
production supervisor’s body.",
OILPS_OSHA_03166,"An employee was pushing back a stand of drill pipe on a rig floor. He slipped and fell forward, putting his hands out in front of him to brace his fall. The drill pipe moved back slightly and pinched his right index and middle fingers against the rig floor, resulting in the amputation of the two fingertips above the first knuckle.",
OILPS_IOGP_HPE_0062,"On 30/04/2025, a High Potential (HIPO) occurred when a crane’s counterweight of 15 tonnes fell off the trailer due 
to failure in the securing belt. The trailer was moving from the laydown area to the well-pad. No personnel injuries 
were reported.",
OILPS_OSHA_02619,A forklift collision broke an employee's heel and ankle.,Safe Mechanical Lifting; Driving
OILPS_OSHA_03596,"An employee was cleaning a sight glass on a gas separation machine that was located on top of a self contained/self evacuating tank. When the valve that connected the well bore to the gas separation machine was opened, gas/vapor ignited, causing a flash fire that burned the employee's face and hands.",Hot Work
OILPS_IOGP_HPE_0078,"A worker fell approximately 16 feet from an aerial work platform onto a Christmas tree cart. The incident occurred 
while the worker was using a rope tied to the basket to pull an umbilical and create slack for a storm loop. The rope 
failed under tension, releasing stored energy that transferred to the basket. This sudden release caused the basket 
to jolt, ejecting the worker.",
OILPS_OSHA_03694,An employee was sprayed with hot water when a nearby bleeder valve was under pressure that caused the valve to release. This resulted in burns to their legs and lower torso.,Energy Isolation
OILPS_OSHA_03791,"Two employees were looking for steel tubing in the yard. Employee 1 knelt down to read the size numbers on the tubing. Employee 2 pulled out a piece of tubing and then tripped over a white mesh bag of parts from a delivery. The tubing was dropped on employee 1's right middle finger, amputating the fingertip.",
OILPS_OSHA_02760,Two employees were unloading and loading propane cylinders. A leaking propane tank was placed in front of a makeshift structure. Propane gas accumulated within the structure and an explosion occurred. Both employees suffered second and third degree burns that required hospitalization.,Hot Work
OILPS_OSHA_01634,"An employee was steadying a road boring machine as it was loaded onto the back of a truck. The employee's right index finger was in a pinch point when the machine was lowered onto the finger, crushing it and requiring a medical amputation.",Line of Fire; Driving
OILPS_OSHA_00310,"An employee was pinning tubing together to skid the rig. The employee's hands were placed between the two pieces, and the left pinky and ring fingers got pinched. Both fingers were surgically amputated.",
OILPS_OSHA_02402,An employee was installing a vent chimney for a gas fireplace and fell from the roof to the ground below. The employee was hospitalized with bilateral foot fractures.,Working at Height
OILPS_OSHA_02064,"An employee was lowering the boom of the manlift. The manlift basket became entangled with a rope attached to a pulley used to hoist screens and tools to the top of the plant. As the manlift descended it put tension on the rope which broke the gantry frame. A section of the frame struck the employee's head/shoulder area. The employee lost consciousness and sustained multiple fractures to his skull, face, shoulder and ribs. The employee was wearing personal protective equipment at the time.",Safe Mechanical Lifting
OILPS_IOGP_HPE_0051,"A contractor mechanical field service representative and mechanical team had disconnected the export gas 
compressor gas turbine’s primary and secondary flexible fuel gas hoses. After disconnecting the hoses, the 
contractor field service representative was on the back side of the gas turbine while the mechanical technicians 
were on the front side. While lying beneath the gas turbine to check the water wash drain tube under the gas 
turbine, pressure was released, causing the loose hoses to swing.",
OILPS_IOGP_SPI_0167,"Oil patches were observed from the helicopter. Later it was confirmed that a leak had occurred from the subsea 20” 
pipeline.",
OILPS_IOGP_HPE_0025,Cut through live supply line.,
OILPS_IOGP_SPI_0211,"During Booster compressor (BC) commissioning, the operator observed a smoldering fire in the engine exhaust 
elbow. The operator immediately shut down the BC unit and extinguished the fire using a portable extinguisher.",
OILPS_OSHA_03751,"An employee approached the driver of a semi truck with a belly dumper trailer to notify them that they smelled burning brakes. While the employee was checking the front brakes, the brakes released and the truck rolled backward over their leg. The employee sustained a fractured leg, ankle, and toe.",Driving
OILPS_IOGP_SPI_0208,"During hot work activities to replace process lines, the flange of a service water line was broken. This resulted in a 
release of water followed by a hydrocarbon/water emulsion. There was no CO/LEL detected and the material was 
removed by flushing with service water. Despite a very minor, intermittent liquid release (droplets) from the open 
line, work activities continued to cut an upstream service water line. About 10-15 minutes later, a fire ignited from 
the open process nozzle.
142
Safety performance indicators – Process safety events – 2025 data
===PAGE_143===",
OILPS_OSHA_02051,An employee was re-dressing a setting tool. The employee's right little finger was caught between the setting sleeve and a mandrel porthole. The tip was amputated.,
OILPS_IOGP_HPE_0002,"At around 4am on 1st of May, the two men on the crane were assigned to a new location. The operation involved 
depositing the counterweights. Following a counter-order from the supervisor, they had to carry out a final lift 
before going on to the new location. The spider chains were replaced on the counterweights. As the chains are 
lifted, one of the hooks gets caught in the guide of the counterweight. When the chains come off, they have a spring 
effect. The banksman can't reasonably control three of them and the fourth spins around him with his back lower. 
The spider chain hit the banksman at the back. The IP received pain killer treatment before transferring to hospital 
by chopper. The IP suffered a permanent impairment injury.",
OILPS_OSHA_02144,An employee was entering a production line to weld a tab on a pipe when the employee's left leg (between the ankle and knee) was caught and injured between a steel pipe and a roller breaker.,Energy Isolation
OILPS_IOGP_HPE_0022,Fly jib on mobile crane fell to the floor.,
OILPS_OSHA_01138,"An employee was installing an outrigger on a frac unit. The employee climbed a ladder to install the top pivot pin while a loader was positioning the outrigger. The top pin would not fully slide into place because the bottom pin's eye was not aligned properly. The employee dismounted the ladder and pushed the lower part of the outrigger to align the pins and eyes with the mount. When the employee placed the lower pin into the eyes, the top pin fell through the eyes and struck the employee's right hand, smashing the index and middle fingers.",Working at Height
OILPS_IOGP_HPE_0009,Release of propane from a temp. storage tank.,
OILPS_IOGP_SPI_0123,"During hot water flush, well started unloading, and the PSV released on the LP separator.",
OILPS_IOGP_SPI_0092,Vibration-related nipple failure released 23 bbl oil; partial recovery completed.,
OILPS_OSHA_02650,"While moving drums in the back of a delivery truck, an employee fell from the truck to the ground, suffering a concussion and head laceration. The employee was hospitalized.",Working at Height; Driving
OILPS_OSHA_03247,"An employee was repairing a pack installation under tension. Upon pushing the pack, the employee sustained a left calf strain and was hospitalized.",
OILPS_OSHA_02262,"An employee was pressure washing a roll-off box when the employee contacted the pressurized water, suffering a left foot injury.",Energy Isolation
OILPS_OSHA_03368,"An employee opened the hatch on an oil tank. The exposure to hydrogen sulfide and other gases caused the employee to become ill, dizzy, and lightheaded; the employee was hospitalized.",Confined Space; Toxic Gas / Hazardous Substance
OILPS_OSHA_01763,"An employee was dismantling a lubricant barrel with a torch when it exploded. The explosive force blew out the bottom of the drum, which flew up and struck the employee's face, smashing the welding helmet he was wearing, sending him backwards, and causing him to hit his head on the concrete floor. He suffered facial lacerations, a skull fracture, and bleeding on the brain.",Hot Work
OILPS_OSHA_00818,"An employee was working on the rig floor when a traveling block fell and struck him, fracturing his clavicle and ribs.",
OILPS_IOGP_SPI_0113,"Tank leaked due to internal corrosion, spilling 111 bbl. oil inside unlined berm; 17 bbl. recovered.",
OILPS_IOGP_SPI_0180,"During routine gas injection operations on an offshore production unit, a sudden drop in pressure and an increase 
in flow were detected in one of the flexible gas injection lines. Upon investigation, it was discovered that the line had 
ruptured at a deep-water connector, leading to an uncontrolled release of flammable gas mixture. The event did 
not result in injuries or environmental impact but caused significant material loss. Following the detection, the gas 
injection was manually stopped to contain the release, and remote inspections confirmed the subsea failure.",
OILPS_OSHA_03581,"An employee was near a hybrid separator when it malfunctioned, resulting in a flash fire that burned the employee's upper body.",Hot Work; Confined Space
OILPS_IOGP_HPE_0049,"A forklift operator was pulling a service hose from the backyard to the rig location, the operator raised the boom 
to a higher position. During this operation, the boom came into contact with a deadline data cable positioned 
approximately 5 meters high on overhead line stands. As a result, the cable fell and sustained minor damage. There 
were no injuries or harm to personnel",
OILPS_IOGP_SPI_0128,"Upon arriving for rounds, operator discovered that the flowline had developed a leak underground and was flowing 
to the surface.",
OILPS_OSHA_02035,"Two employees were in a trailer. A lit cigarette ignited gas that had leaked from a propane tank in the trailer, causing an explosion. Both employees suffered second-and third- degree burns to the hands, arms, and face.",Hot Work
OILPS_IOGP_HPE_0010,"A 9 kg metal plate detached from the conveyor railway and fell approximately 6.5–10 m onto the deck below.
No personnel were struck; however, dropped-object energy indicated fatality potential.
The plate was originally installed as a dropped-object prevention measure. Over time it deteriorated and was 
displaced due to a misaligned and stretched conveyor belt, which pushed the plate out of position.
Operations on the starboard conveyor were stopped, the area below was barricaded, and a rope-access inspection 
of similar installations was initiated.",
OILPS_OSHA_03360,Two employees were working on a perforating gun when it detonated in the shop. One employee suffered burns to the hands and hearing loss. The other employee's left hand was amputated and they sustained burns to the upper torso. Both employees were hospitalized.,
OILPS_OSHA_00467,"An employee was hydrostatic pressure-testing a section of pipeline when a pipe coupling separated and struck him in the face, lacerating his upper lip and causing dental trauma.",Energy Isolation
OILPS_OSHA_00308,An employee was overcome by heat stress while conducting oil-well servicing operations.,
OILPS_OSHA_03687,"An employee was removing a pipe from his truck when his middle finger got caught in the D ring on the pipe, resulting in a fingertip amputation up to the first knuckle.",Line of Fire; Driving
OILPS_IOGP_SPI_0050,"A leak was detected on the 3” Ø liquids line toward the battery limit, which is currently out of operation.
Actions: It was verified that the valves of the liquids circuit were closed; the area around the central rack where the 
line runs was barricaded, and maintenance and inspection personnel were notified for evaluation.",
OILPS_IOGP_FATAL_0011,Fatality during Well Surveillance.,
OILPS_OSHA_00125,An employee was transferring product from a tote to a truck when static caused vapors to ignite. The employee was burned on the abdomen and face and has a possible broken ankle.,Driving
OILPS_OSHA_02645,"On September 9, 2020, an employee was attempting to start a vibrating tamper in order to continue compacting backfill material in a completed excavation. The employee pulled the starter cord multiple times. After the pull which started the engine, the pull cord of the vibrating tamper did not recoil correctly. The employee gathered the excess cord in his left hand in order to prevent an additional slip, trip, or fall hazard. When he engaged the throttle of the machine with his right hand, the pull cord retracted, wrapped around the employee s left thumb, and caused a partial amputation of the thumb tip.",
OILPS_OSHA_00575,"An employee was welding on the access door to a 21,000 gallon tank containing an asphalt product identified as AC. A flame was observed, by the spotter, moments before a blast. The welder was blown into the air and landed on the platform. The welder sustained burns and was hospitalized.",Hot Work
OILPS_OSHA_03002,"An employee was troubleshooting a compressor that had shut down. The employee believed that a 1-inch choke nipple was plugged and drained fluids via the dump line to check the choke nipple. The employee then loosened a union and a flash fire occurred, burning the employee's hands and face.",Energy Isolation; Hot Work
OILPS_OSHA_03711,"On April 29, 2024, at around 8:45 AM, an employee was making a fuel delivery to a 300-gallon fuel tank that was located on top of pea gravel at a customer's site. The gravel started to shift during the delivery and the employee jumped from their step ladder about 24-30 inches to the gravel to avoid the tank and then fell. The employee sustained a laceration to their left eyebrow and three broken ribs on their left side.",Working at Height; Hot Work
OILPS_OSHA_00816,"An employee was working on the engine of a compressor when a flash fire occurred, burning the employee's hands and face. He was hospitalized.",Hot Work
OILPS_OSHA_01842,"An employee was flagging trucks into a job site when a pickup truck drove through the construction zone and struck the employee, who suffered two broken ribs and a bruised elbow.",Driving
OILPS_OSHA_00678,"An employee was performing tank gauging on a produced water tank. After opening the tank's thief hatch, the employee was exposed to hydrogen sulfide, suffering headaches and nausea.",Confined Space; Toxic Gas / Hazardous Substance
OILPS_OSHA_01014,"An employee was removing a threaded grease fitting from a valve. As the fitting came loose, it struck the employee's hand. Air, water, and grease also released with some pressure. The pressure or the fitting lacerated the employee's hand between the thumb and forefinger and abraded the skin between the thumb and wrist. The employee was hospitalized and had surgery.",Energy Isolation
OILPS_OSHA_02280,"Employees were at site to plug a well and were pulling casing from the well and laying them on a skid. An employee who was standing on a metal bench/stool lost his footing. The case fell off the rack and struck him in the right leg, breaking his tibia and fibula. He was hospitalized and had surgery.",
OILPS_OSHA_01687,"An employee was working outside on July 17, 2018, preparing for the next day's job when he started not feeling well. The next day, July 18, 2018, the employee was at a customer location working and started vomiting and was unable to keep any fluids down. The employee was hospitalized for heat exhaustion and renal failure.",
OILPS_IOGP_SPI_0049,"During a drone inspection along the Right of Way of the 16” Ø crude oil pipeline, a loss of containment was detected 
at km 31+812, which was subsequently confirmed by pipeline personnel, in a low-lying flood-prone area. Provisional 
repair work was initiated with the installation of a clamp; however, at 20:00 h it was determined that the clamp 
could not be installed because the assessment indicated a longitudinal weld failure of approximately 60 cm, caused 
by electric resistance welding, located at the 7 o’clock position.",
OILPS_IOGP_SPI_0002,"On 9th November 2025 at about 1427hrs during a routine draining operation, there was loss of primary containment 
at the saver pit that went into the slot jetty area. Immediate action taken: 
1. Draining stopped. 
2. The outlet sluice gate was immediately closed. 
3. A containment boom deployed at the slot jetty.",
OILPS_OSHA_03667,"An employee was trying to restart an engine on a compressor that went down. The engine flywheel and starter were not aligned. The employee attempted to use a bar to roll over the flywheel when built-up air pressure caused the entire engine to roll over. The bar then slammed into the employee's left arm, resulting in an injury.",Energy Isolation
OILPS_OSHA_03788,An employee was walking up the steps to shut off a sprayer when he fell from the steps. The employee injured his right heel and fractured his left tibia and was hospitalized.,Working at Height
OILPS_IOGP_SPI_0141,"Water tank ruptured on the top due to overpressure from a mechanical fault on a water control valve on production 
separator.",
OILPS_OSHA_01949,"An employee was walking in packed snow when the employee slipped and fell to the ground, suffering a fractured right femur.",
OILPS_IOGP_SPI_0093,"Vibration failure on lease automatic custody transfer 130 discharge pressure transmitter caused 80 bbl oil spill; 60 
bbl recovered.",
OILPS_OSHA_03797,"An employee was positioning a pipe for welding when his left middle finger got pinched between the pipe and a spacer, resulting in a fingertip amputation.",Hot Work
OILPS_OSHA_01942,An employee was walking on the company road to work when he was struck by another employee who was driving a car away from the premises. He suffered a spinal injury and head laceration.,Line of Fire
OILPS_IOGP_SPI_0219,"A manual emergency shutdown was initiated following a report of a valve flange leakage in a relief line to the flare 
header. Investigation after shutdown concluded that the flange fasteners were under-torqued.",
OILPS_OSHA_03559,"An employee was drawing off an asphalt cement sample when the hot asphalt splashed onto the employee's face, resulting in burns.",
OILPS_OSHA_01003,An employee was welding pipes when his left index and middle finger were caught and amputated in a pipe clamp.,Hot Work
OILPS_OSHA_00043,"On 1/21/15 at about 16:20 pm a worker was hit by the tongs on his right arm, chest, and leg. He was transported to OU Medical Center where his right hand was amputated. Immediately before the accident the drilling line was stuck. The snub line connected to the tongs snapped causing the tongs to swing around and hit the worker.",Line of Fire
OILPS_IOGP_SPI_0217,"During preparations to install and test a blowout preventer (BOP) on a re-entry well, a downhole isolation 
arrangement was in place and surface checks indicated no pressure. While the work sequence was progressing 
toward BOP pressure/function testing, the well flowed and released steam and reservoir fluids to surface. 
Personnel evacuated the immediate area and the well was shut in using the BOP blind rams; the release lasted 
approximately four minutes.",
OILPS_IOGP_HPE_0043,"During the night shift, the crew attempted to release an anchor latch tool from a permanent packer using a straight 
pull of 60 klbs (including 55 klbs string weight) without success. Following contractors’ procedures, the string 
was tensioned with 5 klbs over string weight and rotated manually, but no movement was observed. Based on 
contractors’ instructions, power tongs were partially used due to the absence of a power swivel on site.
During the sixth right-hand turn with a 5 klbs overpull, the 2-7/8"" tubing coupling connected to the safety valve backed 
off and fell approximately 21 ft onto the rig floor, then a further 14 ft to the ground. At the same time, the tubing string 
settled approximately 6 ft into the packer. The combined weight of the coupling and safety valve was 36.5 kg.",
OILPS_OSHA_02207,"An employee was working on trucks when his shop rag ignited from a spark, causing his clothing to catch on fire. He sustained burns on his arms and legs and was hospitalized.",Hot Work
OILPS_IOGP_SPI_0134,"A localized flash fire occurred inside the injection compressor’s 1st stage knockout (KO) drum within a central 
facility. Personnel had entered the drum to clean and demolish internal components in preparation for system 
upgrades. Non-intrinsically safe lighting and tools had been permitted under a hot work permit along with 
appropriate confined space entry permit. Flammable vapors ignited resulting in burns.",
OILPS_IOGP_HPE_0057,"A telehandler operator was moving a 714kg pipe spool when he observed a trailer blocking his access. The operator 
pulled the telehandler over to the side waiting for the trailer to move away. When the trailer moved, the operator 
started to reverse the telehandler. After reversing approximately 2 metres, the front right tyre of the telehandler 
failed and exploded. The release of pressure ejected the tyre 7 metres away from the telehandler. The primary 
locking rim (weight 19.3kg) and the secondary locking rim (weight 2.3kg) were ejected from the split rim, causing 
the primary locking rim to land 50 metres away and the secondary locking rim to land 70 metres away. No injuries 
were reported. The Flagman and Rigger were positioned behind the telehandler approximately 5 metres away.",
OILPS_IOGP_HPE_0048,"A Contractor scaffolder was dismantling a scaffold by removing a 3m high scaffold standard at a height of 11.5m, 
without using lanyards and passing the scaffold standard to a colleague below.",
OILPS_IOGP_SPI_0029,"During a routine condensate tanker loading operation at Loading Bay, an overfill occurred resulting in an 
estimated loss of 1040 kg of condensate. The event resulted from the failure of the High-High level switch, which 
did not initiate the automatic system shutdown as designed. The abnormal condition was identified through 
CCTV monitoring, which revealed the product overflow. Immediate intervention was undertaken by activating the 
emergency shutdown push button, thereby halting loading operations.
Safety performance indicators – Process safety events – 2025 data
25

===PAGE_26===",
OILPS_OSHA_00727,"While climbing off a work platform, an employee lost his grip on the side rail and his leg was caught between the rail and platform. His leg was severed and required hospitalization.",
OILPS_OSHA_03290,"Employees were performing a tubing integrity test. As they were blowing down the pressure from the casing, the nipple assembly came off the casing valve flange onto the ground. The nipple threads and casing valve flange threads failed with the pressure, causing the employees to be pushed to the ground. The injured employee sustained a head injury and was hospitalized.",Energy Isolation
OILPS_IOGP_SPI_0162,"A fire occurred at the diesel pumping station caused by a product release due to high vibration from the pump’s 
mechanical seal at an operating temperature of 250-260°C.",
OILPS_IOGP_SPI_0114,Power loss caused inlet valve to fail open and tanks overflowed; manual valve closed until power restored.,
OILPS_OSHA_00321,"An employee was installing light posts when the derrick truck swung the light post and contacted the power line behind them. The trailer holding the post became energized, and the employee received severe electrical burns.",Working at Height; Driving
OILPS_IOGP_SPI_0020,"The puncture is on the pipeline between #6 and #7, approx. 100 m from the #6 collector. The powerfully flowing gas 
completely carried away the soil from the backbone pipeline. Since we were not able to identify which backbone 
pipeline had a puncture at first, we closed all wells at the #6 collecting station at 09:30. VO, TO, OK are running next 
to each other. After identifying the faulty pipeline, we started depressurizing the #7 collecting station. The leaked 
gas could be 10000 Nm3. The restart of the #6 wells is currently in progress. #6 daily production: Br: 685.4 m3/d 
N: 22.5 m3/d, OK: 13,700 Nm3/d, sg: 90,100 Nm3/d. From the #7 collector, the OK gas is distributed towards the 
station, through which it arrives at the gas plant.",
OILPS_OSHA_03067,An employee was assisting with moving a length of pipe. The employee tripped and was run over by an excavator resulting in fractures to the lower body.,
OILPS_IOGP_HPE_0069,"On May 20, 2025, a worker was engaged in repositioning a spec blind from the closed to the open position on the 
flare line, in preparation to de-isolate the unit for commissioning activities. During this activity, the worker was 
exposed to a gas/energy release from the down steam side of the isolated gate valve at the open flange pair. Worker 
required rescue from heights and was provided onsite first aid; worker was transported to a local hospital for 
further medical assessment where it was determined worker sustained bruised ribs and a concussion. Worker was 
released from hospital the same day.",
OILPS_OSHA_04168,"An employee was making rounds to collect readings from petroleum tanks. He followed a pathway that had several ground-level protrusions from decommissioned pipe conduits, electrical grounding, and a support strut. The employee tripped on a conduit stub, lost his balance, and fell, landing on his left hip. He was hospitalized with a broken left hip.",
OILPS_OSHA_00589,"While stepping onto an assembly, an employee tripped on the edge and fell forward. The employee's jaw struck an angle iron and broke in three places.",
